code,QA,fill
K070001020,1.7111365197101018,#7ACEB9
K070451100,4.739497770798595,#449C93
K071401001,5.502137366062301,#2A6863
K072530200,1.143164830916869,#BCE6DB
K074401001,3.2365459577131297,#7ACEB9
K075321001,2.4820887967406318,#7ACEB9
K076331201,4.1063936425991505,#449C93
K077322001,3.1330634197299085,#7ACEB9
K079001010,1.544036929773532,#BCE6DB
K081301001,3.856950385667909,#449C93
K081302001,3.864294270799502,#449C93
K085030000,5.311316037457524,#2A6863
K091001011,1.7004389654124226,#7ACEB9
K094301001,3.8074262113178725,#449C93
K094303001,3.932487441515962,#449C93
K097401001,5.128696117461257,#2A6863
K098301001,4.4662515147874124,#449C93
K098301101,4.6223301402961585,#449C93
K101000000,2.657057094540478,#7ACEB9
K104030000,3.5590408188962583,#449C93
K106301002,3.484494791167286,#449C93
K108402001,6.341509634996891,#2A6863
K111000100,6.36103554836267,#2A6863
K112500000,2.8136484504225985,#7ACEB9
K113000201,5.116608394736482,#2A6863
K117321001,4.712884072376475,#449C93
K118001010,2.3416440199616644,#7ACEB9
K121181001,6.087023009594,#2A6863
K122000100,5.6066096309595315,#2A6863
K124030000,5.395525791767331,#2A6863
K124301001,5.463459471021503,#2A6863
K125181001,5.483392178664709,#2A6863
K126031000,3.218157491487984,#7ACEB9
K127311001,3.2600161022319005,#7ACEB9
K128481001,2.4599540775332005,#7ACEB9
K129451001,2.303455854685231,#7ACEB9
K130018000,4.109177697969858,#449C93
K131400000,5.591296104565667,#2A6863
K131401001,4.79745352574613,#449C93
K132181010,3.7558889435768683,#449C93
K133000100,3.8460231285322286,#449C93
K134181001,3.918539134286958,#449C93
K135301001,4.614544263748429,#449C93
K136301001,4.5418187008738355,#449C93
K137000301,4.987242418206141,#449C93
K138301001,4.914609170505342,#449C93
K139181001,4.089727329626136,#449C93
K140000000,3.370154304536154,#7ACEB9
K141401001,6.103310142055971,#2A6863
K144001010,2.960749358796325,#7ACEB9
K145030000,6.375766646608871,#2A6863
K151000101,2.2728305157280535,#7ACEB9
K152401001,3.4377304264630952,#449C93
K153030000,3.07738952606593,#7ACEB9
K153301001,2.8884885701118392,#7ACEB9
K154000401,3.1006179630104995,#7ACEB9
K156302001,3.426752251554716,#449C93
K160001010,3.5100884496884275,#449C93
K162030000,4.991996593822153,#449C93
